STATE,COUNTY,UnempRate
18,069,5.8     
18,071,5.0     
18,073,6.7     
18,075,5.8     
18,077,6.0     
18,079,6.7     
18,081,5.0     
18,083,5.2     
18,085,4.9     
18,087,4.5     
18,089,7.9     
18,091,7.6     
18,093,8.1     
18,095,7.1     
18,097,6.5     
18,099,5.5     
18,101,5.3     
18,103,6.6     
18,105,5.7     
18,107,5.4     
18,109,5.8     
18,111,7.0     
18,113,5.2     
18,115,6.9     
18,117,7.7     
18,119,8.1     
18,121,7.0     
18,123,5.8     
18,125,5.1     
18,127,6.2     
18,129,4.8     
18,131,5.4     
18,133,6.6     
18,135,6.5     
18,137,6.6     
18,139,5.6     
18,141,6.6     
18,143,6.8     
18,145,5.7     
18,147,5.1     
18,149,7.2     
18,151,4.9     
18,153,7.1     
18,155,5.9     
18,157,5.0     
18,159,5.2     
18,161,5.6     
18,163,5.4     
18,165,8.6     
18,167,7.6     
18,169,5.6     
18,171,6.1     
18,173,4.9     
18,175,6.6     
18,177,6.5     
18,179,4.8     
18,181,5.1     
18,183,5.2     
19,001,4.0     
19,003,3.3     
19,005,5.6     
19,007,5.7     
19,009,4.3     
19,011,4.6     
19,013,4.9     
19,015,3.4     
19,017,3.6     
19,019,4.6     
19,021,3.9     
19,023,4.2     
19,025,4.8     
19,027,3.1     
19,029,4.3     
19,031,3.8     
19,033,4.6     
19,035,5.0     
19,037,4.7     
19,039,4.4     
19,041,4.1     
19,043,4.9     
19,045,5.2     
19,047,4.0     
19,049,3.3     
19,051,5.1     
19,053,3.7     
19,055,3.7     
19,057,4.9     
19,059,4.6     
19,061,4.1     
19,063,3.9     
19,065,5.0     
19,067,4.5     
19,069,3.9     
19,071,3.8     
19,073,4.0     
19,075,4.1     
19,077,4.3     
19,079,4.5     
19,081,3.3     
19,083,4.3     
19,085,4.0     
19,087,4.4     
19,089,4.0     
19,091,3.7     
19,093,3.5     
19,095,4.1     
19,097,5.0     
19,099,4.4     
19,101,4.3     
19,103,3.0     
19,105,4.9     
19,107,4.4     
19,109,3.2     
19,111,5.8     
19,113,4.3     
19,115,4.5     
19,117,3.9     
19,119,2.5     
19,121,4.5     
19,123,4.3     
19,125,3.8     
19,127,5.3     
19,129,4.3     
19,131,3.5     
